PMID,Toxicant,Year,Group,Paper_Title,text
41207362,microplastic food,2026,(1)major_food_toxicants_CLEAN.csv,"Microplastics detection from packaged milk: Estimation, diagnosis of probable sources, evaluation of dietary exposure, pollution load, and risk assessment.","microplastics detection from packaged milk: estimation, diagnosis of probable sources, evaluation of dietary exposure, pollution load, and risk assessment."
41092704,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Tracing source of microplastics contamination in CTC tea: Effect of processing stages and human health risk assessment.,tracing source of microplastics contamination in ctc tea: effect of processing stages and human health risk assessment.
40941218,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Global Research Trends on Nanoplastics in Food: A Bibliometric Analysis of Human Health Concerns.,global research trends on nanoplastics in food: a bibliometric analysis of human health concerns.
40818394,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Evidence for the 'growth-dilution' of microplastics and microfibers in urban stream fish populations.,evidence for the 'growth-dilution' of microplastics and microfibers in urban stream fish populations.
40779875,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Surface functionalized polystyrene nanoplastics impair nutrient assimilation from corn kernels (Zea mays L.) in a simulated human digestive tract.,surface functionalized polystyrene nanoplastics impair nutrient assimilation from corn kernels (zea mays l.) in a simulated human digestive tract.
40752223,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Synthetic microplastics in hot and cold beverages from the UK market: Comprehensive assessment of human exposure via total beverage intake.,synthetic microplastics in hot and cold beverages from the uk market: comprehensive assessment of human exposure via total beverage intake.
40651650,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Polypropylene micro- and nanoplastics affect the digestion of cow's milk proteins in infant model of gastric digestion.,polypropylene micro- and nanoplastics affect the digestion of cow's milk proteins in infant model of gastric digestion.
40646942,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Preliminary Study on PCC-Chitosan's Ability to Enhance Microplastic Excretion in Human Stools from Healthy Volunteers.,preliminary study on pcc-chitosan's ability to enhance microplastic excretion in human stools from healthy volunteers.
40220361,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Feasibility of Raman and FTIR spectroscopy for direct microplastic search in the human milk samples: Comparative qualitative study.,feasibility of raman and ftir spectroscopy for direct microplastic search in the human milk samples: comparative qualitative study.
40209440,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,"Microplastic abundance and characteristics in bivalves from Tam Giang-Cau Hai and O Loan Lagoons, coastal regions in Central Vietnam: Implication on human health.","microplastic abundance and characteristics in bivalves from tam giang-cau hai and o loan lagoons, coastal regions in central vietnam: implication on human health."
39909955,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,"Microplastic contamination in commercial food and drink products and associated risk of potential human intake in Riyadh, Saudi Arabia.","microplastic contamination in commercial food and drink products and associated risk of potential human intake in riyadh, saudi arabia."
39742609,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,The released micro/nano-plastics from plastic containers amplified the toxic response of disinfection by-products in human cells.,the released micro/nano-plastics from plastic containers amplified the toxic response of disinfection by-products in human cells.
39724717,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Quantitative tracking of the transformation of micro- and nanoplastics in simulated human body fluid.,quantitative tracking of the transformation of micro- and nanoplastics in simulated human body fluid.
39579919,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Microplastics in stools and their influencing factors among young adults from three cities in China: A multicenter cross-sectional study.,microplastics in stools and their influencing factors among young adults from three cities in china: a multicenter cross-sectional study.
39551294,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Identification of a PET hydrolytic enzyme from the human gut microbiome unveils potential plastic biodegradation in human digestive tract.,identification of a pet hydrolytic enzyme from the human gut microbiome unveils potential plastic biodegradation in human digestive tract.
39456886,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Bioaccumulation Rate of Non-Biodegradable Polystyrene Microplastics in Human Epithelial Cell Lines.,bioaccumulation rate of non-biodegradable polystyrene microplastics in human epithelial cell lines.
39413612,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Presence of microplastics in human stomachs.,presence of microplastics in human stomachs.
39197786,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Assessment of microplastics in human stool: A pilot study investigating the potential impact of diet-associated scenarios on oral microplastics exposure.,assessment of microplastics in human stool: a pilot study investigating the potential impact of diet-associated scenarios on oral microplastics exposure.
39084010,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Microplastics in the commercially available branded milk in Bangladesh: An emerging threat for human health.,microplastics in the commercially available branded milk in bangladesh: an emerging threat for human health.
39003809,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,"Take-out food enhances the risk of MPs ingestion and obesity, altering the gut microbiome in young adults.","take-out food enhances the risk of mps ingestion and obesity, altering the gut microbiome in young adults."
38971436,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,"Detection of fibrous microplastics and natural microfibers in fish species (Engraulis encrasicolus, Mullus barbatus and Merluccius merluccius) for human consumption from the Tyrrhenian sea.","detection of fibrous microplastics and natural microfibers in fish species (engraulis encrasicolus, mullus barbatus and merluccius merluccius) for human consumption from the tyrrhenian sea."
38870856,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Plastic takeaway food containers may cause human intestinal damage in routine life usage: Microplastics formation and cytotoxic effect.,plastic takeaway food containers may cause human intestinal damage in routine life usage: microplastics formation and cytotoxic effect.
38740239,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,"Microplastic contamination in some beverages marketed in türkiye: Characteristics, dietary exposure and risk assessment.","microplastic contamination in some beverages marketed in türkiye: characteristics, dietary exposure and risk assessment."
38740201,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,In vitro digestion of microplastics in human digestive system: Insights into particle morphological changes and chemical leaching.,in vitro digestion of microplastics in human digestive system: insights into particle morphological changes and chemical leaching.
