PMID,Toxicant,Year,Group,Paper_Title,text
41176988,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Strategy comparison for purifying phycocyanin from microplastic-contaminated Spirulina platensis: A dual evaluation of product quality and microplastic removal.,strategy comparison for purifying phycocyanin from microplastic-contaminated spirulina platensis: a dual evaluation of product quality and microplastic removal.
41067331,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Preparation of starch/pectin packaging films adding cedarwood essential oil and application in giant tiger prawn preservation.,preparation of starch/pectin packaging films adding cedarwood essential oil and application in giant tiger prawn preservation.
41043266,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,"Absorption, distribution, and elimination of [<sup>14</sup>C] polyethylene terephthalate nanoplastics in lactating sheep upon oral administration.","absorption, distribution, and elimination of [<sup>14</sup>c] polyethylene terephthalate nanoplastics in lactating sheep upon oral administration."
40865228,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Insights into mouse metabolic health and gut microbiota responses to conventional and biodegradable microplastics released from plastic food containers.,insights into mouse metabolic health and gut microbiota responses to conventional and biodegradable microplastics released from plastic food containers.
40818394,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Evidence for the 'growth-dilution' of microplastics and microfibers in urban stream fish populations.,evidence for the 'growth-dilution' of microplastics and microfibers in urban stream fish populations.
40704077,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Multigenerational Effects of Weathered Polyethylene Microplastics on <i>Drosophila melanogaster</i>.,multigenerational effects of weathered polyethylene microplastics on <i>drosophila melanogaster</i>.
40675274,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,"Microplastic contamination in green mussels (Perna viridis Linnaeus, 1758) collected from the traditional fish markets along the East Java coast of Indonesia and the associated risk assessment.","microplastic contamination in green mussels (perna viridis linnaeus, 1758) collected from the traditional fish markets along the east java coast of indonesia and the associated risk assessment."
40616199,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Exploring the Mechanism of Kidney Injury in Mice Induced by High-Fat Diet and Polystyrene Nanoplastics Co-Exposure Through the Kidney-Gut Axis.,exploring the mechanism of kidney injury in mice induced by high-fat diet and polystyrene nanoplastics co-exposure through the kidney-gut axis.
40565199,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Yamabushitake Mushroom (<i>Hericium erinaceus</i> (Bull.) Pers. 1797) Mycelium Improves Reproductive System Dysfunction in Male Rats Induced by Polystyrene Microplastics.,yamabushitake mushroom (<i>hericium erinaceus</i> (bull.) pers. 1797) mycelium improves reproductive system dysfunction in male rats induced by polystyrene microplastics.
40542719,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,NIR-II Plastic Particles for Monitoring Intestinal Motility and Microplastic Deposition in Mice.,nir-ii plastic particles for monitoring intestinal motility and microplastic deposition in mice.
40482504,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Unraveling the impact of polystyrene microplastics with varying particle sizes and concentrations on lipid in vitro digestion and ex vivo absorption.,unraveling the impact of polystyrene microplastics with varying particle sizes and concentrations on lipid in vitro digestion and ex vivo absorption.
40324088,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Incorporation of polylactic acid microplastics into the carbon cycle as a carbon source to remodel the endogenous metabolism of the gut.,incorporation of polylactic acid microplastics into the carbon cycle as a carbon source to remodel the endogenous metabolism of the gut.
40245719,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Combined exposure of polystyrene nanoplastics and silver nanoparticles exacerbating hepatotoxicity in zebrafish mediated by ferroptosis pathway through increased silver accumulation.,combined exposure of polystyrene nanoplastics and silver nanoparticles exacerbating hepatotoxicity in zebrafish mediated by ferroptosis pathway through increased silver accumulation.
40234317,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Exploring the influence of heat treatment duration and temperature on the properties and adsorption performance of Sn<sub>0.5</sub>Ni<sub>0.3</sub>Mn<sub>0.2</sub>Fe<sub>2</sub>O<sub>4</sub> nanoparticles.,exploring the influence of heat treatment duration and temperature on the properties and adsorption performance of sn<sub>0.5</sub>ni<sub>0.3</sub>mn<sub>0.2</sub>fe<sub>2</sub>o<sub>4</sub> nanoparticles.
40220396,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Polystyrene microplastics impair brown and beige adipocyte function via the gut microbiota-adipose tissue crosstalk in high-fat diet mice.,polystyrene microplastics impair brown and beige adipocyte function via the gut microbiota-adipose tissue crosstalk in high-fat diet mice.
40220361,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Feasibility of Raman and FTIR spectroscopy for direct microplastic search in the human milk samples: Comparative qualitative study.,feasibility of raman and ftir spectroscopy for direct microplastic search in the human milk samples: comparative qualitative study.
40089796,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Targeted activation of ErbB4 receptor ameliorates neuronal deficits and neuroinflammation in a food-borne polystyrene microplastic exposed mouse model.,targeted activation of erbb4 receptor ameliorates neuronal deficits and neuroinflammation in a food-borne polystyrene microplastic exposed mouse model.
40075087,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Disintegration of commercial biodegradable plastic products under simulated industrial composting conditions.,disintegration of commercial biodegradable plastic products under simulated industrial composting conditions.
40058265,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,"Influence of different food matrices on the abundance, characterization, migration kinetics and hazards of microplastics released from plastic packaging (PP and PET).","influence of different food matrices on the abundance, characterization, migration kinetics and hazards of microplastics released from plastic packaging (pp and pet)."
40042913,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Simulated Microplastic Release from Cutting Boards and Evaluation of Intestinal Inflammation and Gut Microbiota in Mice.,simulated microplastic release from cutting boards and evaluation of intestinal inflammation and gut microbiota in mice.
40038915,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Synthesis of <sup>14</sup>C-Labeled Polyethylene Terephthalate and Generation of <sup>14</sup>C-Nanoparticles for Fate and Disposition Studies.,synthesis of <sup>14</sup>c-labeled polyethylene terephthalate and generation of <sup>14</sup>c-nanoparticles for fate and disposition studies.
39978201,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Lactobacillus plantarum reduces polystyrene microplastic induced toxicity via multiple pathways: A potentially effective and safe dietary strategy to counteract microplastic harm.,lactobacillus plantarum reduces polystyrene microplastic induced toxicity via multiple pathways: a potentially effective and safe dietary strategy to counteract microplastic harm.
39867494,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Novel probiotics adsorbing and excreting microplastics <i>in vivo</i> show potential gut health benefits.,novel probiotics adsorbing and excreting microplastics <i>in vivo</i> show potential gut health benefits.
39848048,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Quantification of microplastics released from plastic food containers during rinsing and migration by pyrolysis-gas chromatography/mass spectrometry.,quantification of microplastics released from plastic food containers during rinsing and migration by pyrolysis-gas chromatography/mass spectrometry.
